Brand1,chevrolet,chrysler,ford,honda,hyundai,kia,mazda,nissan,toyota,volkswagen
chevrolet,0.07679245283018868,0.3916415094339623,0.5276093229744728,0.6378573113207547,0.5669570453633079,0.4149486924859318,0.6057112571549714,0.3751859838274933,0.456072250345145,0.3883254716981132
chrysler,0.3916415094339623,0.038490566037735846,0.6811663807890224,0.49186502177068214,0.6568635941849675,0.4390775681341719,0.5196226415094339,0.4816014726184998,0.5680274442538593,0.43918722786647313
ford,0.5276093229744728,0.6811663807890224,0.22037735849056606,0.7091561971766641,0.8342284734133791,0.7801865105183257,0.6500206120183923,0.5488038102216524,0.6331786052206824,0.6810272536687632
honda,0.6378573113207547,0.49186502177068214,0.7091561971766641,0.25075471698113205,0.7230904719594419,0.8394831829368334,0.5715253614310218,0.43903470925365445,0.5653590146750525,0.6722039099795408
hyundai,0.5669570453633079,0.6568635941849675,0.8342284734133791,0.7230904719594419,0.19641509433962265,0.4033056603773585,0.7790022385673169,0.5275442062629655,0.6191207180802345,0.5567179425549814
kia,0.4149486924859318,0.4390775681341719,0.7801865105183257,0.8394831829368334,0.4033056603773585,0.058113207547169816,0.5439396226415094,0.5323584905660377,0.6086264962467032,0.5070662227155013
mazda,0.6057112571549714,0.5196226415094339,0.6500206120183923,0.5715253614310218,0.7790022385673169,0.5439396226415094,0.13245283018867923,0.4751629502572899,0.8269811320754716,0.4569109258446687
nissan,0.3751859838274933,0.4816014726184998,0.5488038102216524,0.43903470925365445,0.5275442062629655,0.5323584905660377,0.4751629502572899,0.09679245283018867,0.4227616549623488,0.45339622641509436
toyota,0.456072250345145,0.5680274442538593,0.6331786052206824,0.5653590146750525,0.6191207180802345,0.6086264962467032,0.8269811320754716,0.4227616549623488,0.1837735849056604,0.5841374663072776
volkswagen,0.3883254716981132,0.43918722786647313,0.6810272536687632,0.6722039099795408,0.5567179425549814,0.5070662227155013,0.4569109258446687,0.45339622641509436,0.5841374663072776,0.08396226415094339
